(base) naimamarseille@Naimas-MacBook-Air-6 src % java -cp .:mariadb-java-client-3.5.7.jar Week13Lab      
Enter your database name, user name and password
employee
naima
password123
Connection to MariaDB established successfully!
11 - Ethan - $89001.471
12 - Isabella - $125000.285
13 - Charlotte - $53937.015
14 - Ella - $50213.217
15 - Scarlett - $44472.042
16 - Ava - $56608.558
17 - Scarlett - $64518.666
18 - Charlotte - $44714.657
19 - Evelyn - $65731.285
20 - Mia - $59013.453
21 - Ava - $41959.413
22 - Ella - $97001.705
23 - Logan - $69115.284
25 - Evelyn - $60268.306
26 - Scarlett - $61535.676
27 - Zoe - $54837.465
28 - Mia - $69570.294
29 - Grace - $65964.076
30 - Olivia - $50227.497
31 - Scarlett - $77000.257
32 - Mia - $47912.795
33 - Emma - $65805.204
35 - Ethan - $38284.637
36 - Logan - $48476.57
37 - Abigail - $50927.941
38 - Aiden - $66210.994
40 - Ava - $50989.146
41 - Charlotte - $53743.747
42 - Mateo - $59033.298
43 - Charlotte - $40025.25
44 - Jackson - $57132.356
45 - Evelyn - $44120.031
46 - Joseph - $40289.085
47 - Amelia - $60628.333
48 - Elijah - $66846.409
49 - Grace - $62641.046
50 - Olivia - $41220.003
51 - Aiden - $69333.876
53 - Mason - $64565.371
54 - Ava - $53235.227
55 - Ava - $44904.024
56 - Ava - $65117.438
57 - Elijah - $42566.119
58 - Sophia - $50918.282
59 - Joseph - $52217.053
60 - Oliver - $66263.417
61 - Omar - $83000.928
62 - Mia - $39660.388
63 - Zoe - $44626.157
64 - Jackson - $54317.622
66 - Amelia - $46481.638
67 - Ella - $58607.323
68 - Evelyn - $62157.703
69 - Grace - $52948.545
71 - Isabella - $41217.615
72 - Scarlett - $67520.441
73 - Joseph - $45421.36
74 - James - $65526.477
76 - Mason - $51452.304
77 - Amelia - $56167.091
78 - Sophia - $47902.541
79 - Mateo - $50902.431
80 - Aiden - $69245.534
81 - Amelia - $63195.375
83 - Lucas - $67972.273
85 - Scarlett - $54490.243
87 - Aiden - $67586.393
88 - Ava - $51962.236
89 - Isabella - $63587.002
90 - Sophia - $66166.3
91 - Ella - $44176.495
92 - Noah - $62685.575
94 - Isabella - $39025.388
95 - James - $60522.216
96 - David - $63173.918
98 - Mia - $65366.94
99 - Noah - $58610.947
100 - Olivia - $38721.915
101 - Harper - $64130.734
102 - Sophia - $65149.927
104 - Emma - $55960.43
105 - Grace - $61983.371
106 - Aiden - $67555.563
107 - Mateo - $55566.703
108 - Oliver - $42346.828
109 - Ava - $48719.03
110 - Elijah - $50289.664
111 - Abigail - $38232.23
112 - Ethan - $45047.161
113 - Zoe - $69674.112
114 - Aiden - $53992.079
115 - Joseph - $65461.059
116 - Lucas - $55134.058
117 - Noah - $63481.113
118 - Zoe - $52918.393
119 - Lucas - $59286.623
120 - Logan - $53740.937
121 - Emma - $50689.817
122 - Logan - $48131.275
123 - Lucas - $48027.922
124 - Sebastian - $44655.786
125 - Joseph - $51377.164
126 - Evelyn - $40367.462
127 - Mia - $58990.819
128 - Emma - $58901.709
129 - Ella - $59616.088
130 - Scarlett - $67189.313
131 - Ethan - $51919.301
132 - Liam - $46110.565
133 - Olivia - $60497.924
134 - Liam - $40593.923
135 - Mason - $63172.844
136 - Jackson - $39833.451
137 - Isabella - $41087.722
138 - Logan - $51512.257
139 - Lucas - $60551.117
140 - Mateo - $41330.817
141 - Abigail - $66879.735
142 - David - $61964.221
143 - Ella - $51413.903
144 - David - $50541.85
145 - Charlotte - $46026.54
146 - Sophia - $38328.15
147 - Harper - $38268.133
148 - Mateo - $46231.212
149 - Mateo - $52314.661
150 - Lucas - $59287.67
151 - Evelyn - $68250.365
152 - David - $57431.817
153 - Isabella - $65689.99
154 - Ava - $64459.497
155 - Liam - $58364.516
156 - Zoe - $62443.089
157 - Sherif - $203000.895
158 - Isabella - $60906.21
159 - Olivia - $69048.365
160 - Sebastian - $60182.194
161 - Jackson - $69673.875
162 - Abigail - $53209.793
163 - Amelia - $41907.341
164 - Joseph - $54116.324
165 - Logan - $47298.599
166 - Sophia - $45124.023
167 - Elijah - $61367.316
168 - Logan - $68599.512
169 - Ethan - $43584.612
170 - Jackson - $47571.522
171 - Sophia - $46771.776
172 - Charlotte - $44078.314
173 - Mateo - $60249.241
174 - Lucas - $49787.262
175 - Ella - $52053.587
176 - James - $66336.15
177 - Oliver - $56625.989
178 - Mateo - $49117.494
179 - Mia - $45716.503
180 - Ava - $46848.035
181 - Oliver - $45881.665
182 - Emma - $42329.219
183 - Aiden - $57326.1
184 - Grace - $64522.843
185 - Lucas - $57769.914
186 - Grace - $63678.041
187 - Jackson - $47516.465
188 - Abigail - $45326.202
189 - Jackson - $42804.616
190 - Noah - $55220.473
191 - Charlotte - $38382.517
192 - Mia - $47193.166
193 - Isabella - $58332.28
194 - Joseph - $49962.901
195 - Emma - $57224.665
196 - Liam - $41178.623
197 - Mason - $38660.121
198 - Lucas - $55149.736
199 - Grace - $69343.316
200 - Charlotte - $67359.371
201 - David - $53314.907
Employees with salary greater than 5000 after tax:
1 - James - $80751.5946
2 - Maria - $78200.05865
3 - Robert - $74800.60945
4 - Emma - $77351.17044999999
5 - Liam - $72250.6256
6 - Olivia - $93501.3141
7 - Noah - $66300.44455
8 - Ava - $69700.83215
9 - William - $63751.126249999994
10 - Sophia - $71401.43565
11 - Ethan - $75651.25035
12 - Isabella - $106250.24225
13 - Charlotte - $45846.46275
14 - Ella - $42681.234449999996
15 - Scarlett - $37801.2357
16 - Ava - $48117.2743
17 - Scarlett - $54840.8661
18 - Charlotte - $38007.45845
19 - Evelyn - $55871.59225
20 - Mia - $50161.43505
21 - Ava - $35665.50105
22 - Ella - $82451.44925
23 - Logan - $58747.9914
25 - Evelyn - $51228.060099999995
26 - Scarlett - $52305.3246
27 - Zoe - $46611.84525
28 - Mia - $59134.749899999995
29 - Grace - $56069.4646
30 - Olivia - $42693.37245
31 - Scarlett - $65450.21844999999
32 - Mia - $40725.87575
33 - Emma - $55934.4234
35 - Ethan - $32541.941450000002
36 - Logan - $41205.0845
37 - Abigail - $43288.74985
38 - Aiden - $56279.344900000004
40 - Ava - $43340.7741
41 - Charlotte - $45682.18495
42 - Mateo - $50178.3033
43 - Charlotte - $34021.4625
44 - Jackson - $48562.5026
45 - Evelyn - $37502.02635
46 - Joseph - $34245.72225
47 - Amelia - $51534.08305
48 - Elijah - $56819.447649999995
49 - Grace - $53244.8891
50 - Olivia - $35037.00255
51 - Aiden - $58933.7946
53 - Mason - $54880.56535
54 - Ava - $45249.94295
55 - Ava - $38168.420399999995
56 - Ava - $55349.8223
57 - Elijah - $36181.20115
58 - Sophia - $43280.5397
59 - Joseph - $44384.49505
60 - Oliver - $56323.90445
61 - Omar - $70550.7888
62 - Mia - $33711.3298
63 - Zoe - $37932.23345
64 - Jackson - $46169.9787
66 - Amelia - $39509.3923
67 - Ella - $49816.22455
68 - Evelyn - $52834.04755
69 - Grace - $45006.263249999996
71 - Isabella - $35034.97275
72 - Scarlett - $57392.37485
73 - Joseph - $38608.156
74 - James - $55697.50545
76 - Mason - $43734.458399999996
77 - Amelia - $47742.02735
78 - Sophia - $40717.15985
79 - Mateo - $43267.066349999994
80 - Aiden - $58858.7039
81 - Amelia - $53716.06875
83 - Lucas - $57776.432049999996
85 - Scarlett - $46316.70655
87 - Aiden - $57448.434049999996
88 - Ava - $44167.90059999999
89 - Isabella - $54048.9517
90 - Sophia - $56241.355
91 - Ella - $37550.02075
92 - Noah - $53282.73875
94 - Isabella - $33171.5798
95 - James - $51443.8836
96 - David - $53697.830299999994
98 - Mia - $55561.899
99 - Noah - $49819.30495
100 - Olivia - $32913.62775
101 - Harper - $54511.1239
102 - Sophia - $55377.43795
104 - Emma - $47566.3655
105 - Grace - $52685.86535
106 - Aiden - $57422.22854999999
107 - Mateo - $47231.69755
108 - Oliver - $35994.8038
109 - Ava - $41411.1755
110 - Elijah - $42746.2144
111 - Abigail - $32497.395500000002
112 - Ethan - $38290.08685
113 - Zoe - $59222.99519999999
114 - Aiden - $45893.26715
115 - Joseph - $55641.90015
116 - Lucas - $46863.94929999999
117 - Noah - $53958.94605
118 - Zoe - $44980.63404999999
119 - Lucas - $50393.62955
120 - Logan - $45679.796449999994
121 - Emma - $43086.344450000004
122 - Logan - $40911.58375
123 - Lucas - $40823.7337
124 - Sebastian - $37957.4181
125 - Joseph - $43670.5894
126 - Evelyn - $34312.3427
127 - Mia - $50142.19615
128 - Emma - $50066.45265
129 - Ella - $50673.6748
130 - Scarlett - $57110.91604999999
131 - Ethan - $44131.405849999996
132 - Liam - $39193.98025
133 - Olivia - $51423.2354
134 - Liam - $34504.83455
135 - Mason - $53696.9174
136 - Jackson - $33858.43335
137 - Isabella - $34924.5637
138 - Logan - $43785.41845
139 - Lucas - $51468.44945
140 - Mateo - $35131.19445
141 - Abigail - $56847.77475
142 - David - $52669.587849999996
143 - Ella - $43701.81755
144 - David - $42960.572499999995
145 - Charlotte - $39122.559
146 - Sophia - $32578.9275
147 - Harper - $32527.91305
148 - Mateo - $39296.5302
149 - Mateo - $44467.46185
150 - Lucas - $50394.519499999995
151 - Evelyn - $58012.81025
152 - David - $48817.04445
153 - Isabella - $55836.491500000004
154 - Ava - $54790.57245
155 - Liam - $49609.8386
156 - Zoe - $53076.62565
157 - Sherif - $172550.76075
158 - Isabella - $51770.2785
159 - Olivia - $58691.110250000005
160 - Sebastian - $51154.8649
161 - Jackson - $59222.79375
162 - Abigail - $45228.324049999996
163 - Amelia - $35621.23985
164 - Joseph - $45998.8754
165 - Logan - $40203.80915
166 - Sophia - $38355.41955
167 - Elijah - $52162.2186
168 - Logan - $58309.5852
169 - Ethan - $37046.9202
170 - Jackson - $40435.793699999995
171 - Sophia - $39756.0096
172 - Charlotte - $37466.5669
173 - Mateo - $51211.85485
174 - Lucas - $42319.1727
175 - Ella - $44245.54895
176 - James - $56385.72749999999
177 - Oliver - $48132.09065
178 - Mateo - $41749.8699
179 - Mia - $38859.02755
180 - Ava - $39820.829750000004
181 - Oliver - $38999.41525
182 - Emma - $35979.836149999996
183 - Aiden - $48727.185
184 - Grace - $54844.41655
185 - Lucas - $49104.4269
186 - Grace - $54126.33485
187 - Jackson - $40388.99524999999
188 - Abigail - $38527.2717
189 - Jackson - $36383.9236
190 - Noah - $46937.40205
191 - Charlotte - $32625.13945
192 - Mia - $40114.1911
193 - Isabella - $49582.437999999995
194 - Joseph - $42468.46585
195 - Emma - $48640.96525
196 - Liam - $35001.82955
197 - Mason - $32861.102849999996
198 - Lucas - $46877.27559999999
199 - Grace - $58941.818600000006
200 - Charlotte - $57255.46535
201 - David - $45317.67095
1 - James - $80751.59
2 - Maria - $78200.06
3 - Robert - $74800.61
4 - Emma - $77351.17
5 - Liam - $72250.63
6 - Olivia - $93501.31
7 - Noah - $66300.44
8 - Ava - $69700.83
9 - William - $63751.13
10 - Sophia - $71401.44
11 - Ethan - $75651.25
12 - Isabella - $106250.24
13 - Charlotte - $45846.46
14 - Ella - $42681.23
15 - Scarlett - $37801.24
16 - Ava - $48117.27
17 - Scarlett - $54840.87
18 - Charlotte - $38007.46
19 - Evelyn - $55871.59
20 - Mia - $50161.44
21 - Ava - $35665.5
22 - Ella - $82451.45
23 - Logan - $58747.99
25 - Evelyn - $51228.06
26 - Scarlett - $52305.32
27 - Zoe - $46611.85
28 - Mia - $59134.75
29 - Grace - $56069.46
30 - Olivia - $42693.37
31 - Scarlett - $65450.22
32 - Mia - $40725.88
33 - Emma - $55934.42
35 - Ethan - $32541.94
36 - Logan - $41205.08
37 - Abigail - $43288.75
38 - Aiden - $56279.34
40 - Ava - $43340.77
41 - Charlotte - $45682.18
42 - Mateo - $50178.3
43 - Charlotte - $34021.46
44 - Jackson - $48562.5
45 - Evelyn - $37502.03
46 - Joseph - $34245.72
47 - Amelia - $51534.08
48 - Elijah - $56819.45
49 - Grace - $53244.89
50 - Olivia - $35037.0
51 - Aiden - $58933.79
53 - Mason - $54880.57
54 - Ava - $45249.94
55 - Ava - $38168.42
56 - Ava - $55349.82
57 - Elijah - $36181.2
58 - Sophia - $43280.54
59 - Joseph - $44384.5
60 - Oliver - $56323.9
61 - Omar - $70550.79
62 - Mia - $33711.33
63 - Zoe - $37932.23
64 - Jackson - $46169.98
66 - Amelia - $39509.39
67 - Ella - $49816.22
68 - Evelyn - $52834.05
69 - Grace - $45006.26
71 - Isabella - $35034.97
72 - Scarlett - $57392.37
73 - Joseph - $38608.16
74 - James - $55697.51
76 - Mason - $43734.46
77 - Amelia - $47742.03
78 - Sophia - $40717.16
79 - Mateo - $43267.07
80 - Aiden - $58858.7
81 - Amelia - $53716.07
83 - Lucas - $57776.43
85 - Scarlett - $46316.71
87 - Aiden - $57448.43
88 - Ava - $44167.9
89 - Isabella - $54048.95
90 - Sophia - $56241.36
91 - Ella - $37550.02
92 - Noah - $53282.74
94 - Isabella - $33171.58
95 - James - $51443.88
96 - David - $53697.83
98 - Mia - $55561.9
99 - Noah - $49819.3
100 - Olivia - $32913.63
101 - Harper - $54511.12
102 - Sophia - $55377.44
104 - Emma - $47566.37
105 - Grace - $52685.87
106 - Aiden - $57422.23
107 - Mateo - $47231.7
108 - Oliver - $35994.8
109 - Ava - $41411.18
110 - Elijah - $42746.21
111 - Abigail - $32497.4
112 - Ethan - $38290.09
113 - Zoe - $59223.0
114 - Aiden - $45893.27
115 - Joseph - $55641.9
116 - Lucas - $46863.95
117 - Noah - $53958.95
118 - Zoe - $44980.63
119 - Lucas - $50393.63
120 - Logan - $45679.8
121 - Emma - $43086.34
122 - Logan - $40911.58
123 - Lucas - $40823.73
124 - Sebastian - $37957.42
125 - Joseph - $43670.59
126 - Evelyn - $34312.34
127 - Mia - $50142.2
128 - Emma - $50066.45
129 - Ella - $50673.67
130 - Scarlett - $57110.92
131 - Ethan - $44131.41
132 - Liam - $39193.98
133 - Olivia - $51423.24
134 - Liam - $34504.83
135 - Mason - $53696.92
136 - Jackson - $33858.43
137 - Isabella - $34924.56
138 - Logan - $43785.42
139 - Lucas - $51468.45
140 - Mateo - $35131.19
141 - Abigail - $56847.77
142 - David - $52669.59
143 - Ella - $43701.82
144 - David - $42960.57
145 - Charlotte - $39122.56
146 - Sophia - $32578.93
147 - Harper - $32527.91
148 - Mateo - $39296.53
149 - Mateo - $44467.46
150 - Lucas - $50394.52
151 - Evelyn - $58012.81
152 - David - $48817.04
153 - Isabella - $55836.49
154 - Ava - $54790.57
155 - Liam - $49609.84
156 - Zoe - $53076.63
157 - Sherif - $172550.76
158 - Isabella - $51770.28
159 - Olivia - $58691.11
160 - Sebastian - $51154.86
161 - Jackson - $59222.79
162 - Abigail - $45228.32
163 - Amelia - $35621.24
164 - Joseph - $45998.88
165 - Logan - $40203.81
166 - Sophia - $38355.42
167 - Elijah - $52162.22
168 - Logan - $58309.59
169 - Ethan - $37046.92
170 - Jackson - $40435.79
171 - Sophia - $39756.01
172 - Charlotte - $37466.57
173 - Mateo - $51211.85
174 - Lucas - $42319.17
175 - Ella - $44245.55
176 - James - $56385.73
177 - Oliver - $48132.09
178 - Mateo - $41749.87
179 - Mia - $38859.03
180 - Ava - $39820.83
181 - Oliver - $38999.42
182 - Emma - $35979.84
183 - Aiden - $48727.19
184 - Grace - $54844.42
185 - Lucas - $49104.43
186 - Grace - $54126.33
187 - Jackson - $40389.0
188 - Abigail - $38527.27
189 - Jackson - $36383.92
190 - Noah - $46937.4
191 - Charlotte - $32625.14
192 - Mia - $40114.19
193 - Isabella - $49582.44
194 - Joseph - $42468.47
195 - Emma - $48640.97
196 - Liam - $35001.83
197 - Mason - $32861.1
198 - Lucas - $46877.28
199 - Grace - $58941.82
200 - Charlotte - $57255.47
201 - David - $45317.67
